day,day2,time,open_at_915,top,bottom,close_at_915,expiry_date,strike_price,right,target,SL,input_price,exit_price,PL,trade,month,year,day_max,PL_TLSL,Result,,
05-12-2019,Thursday,10:36,32083.8,32127.5,32027.5,32071.2,12-Dec-19,32000,CE,100,50,283.15,160.05,123.1,T467,12,2019,123.1,123.1,1,,
06-12-2019,Friday,10:06,31797.2,31848.2,31797.2,31848.2,19-Dec-19,31800,CE,50,25,361.65,309,52.65,T468,12,2019,52.65,52.65,1,,
09-12-2019,Monday,10:03,31321.4,31321.4,31220.4,31220.4,19-Dec-19,31400,PE,50.5,25.25,387.05,421.75,-34.7,T469,12,2019,20.65,-4.6,0,,
10-12-2019,Tuesday,10:03,31386.4,31424.35,31324.35,31362.3,19-Dec-19,31300,CE,100,50,355,289,66,T470,12,2019,80,66,1,,
11-12-2019,Wednesday,10:03,31151.7,31226.45,31126.45,31201.2,19-Dec-19,31200,PE,100,50,268,322,-54,T471,12,2019,28.2,-21.8,0,,
12-12-2019,Thursday,10:03,31356.8,31424.8,31324.8,31392.8,19-Dec-19,31400,PE,100,50,223.85,130.05,93.8,T472,12,2019,95.2,93.8,1,,
13-12-2019,Friday,10:03,31775.6,31831.3,31775.6,31831.3,26-Dec-19,31900,PE,50,25,335.55,284.55,51,T473,12,2019,51,51,1,,
16-12-2019,Monday,10:03,32159,32199.8,32099.8,32140.6,26-Dec-19,32100,CE,100,50,335.95,293.5,42.45,T474,12,2019,69.8,42.45,1,,
17-12-2019,Tuesday,10:03,32082.4,32112.05,32012.05,32041.7,26-Dec-19,32200,PE,100,50,317.65,285.1,32.55,T475,12,2019,32.55,32.55,1,,
18-12-2019,Wednesday,10:03,32292.2,32292.2,32204.4,32204.4,26-Dec-19,32100,CE,50,25,295.85,321,-25.15,T476,12,2019,28.4,3.4,1,,
19-12-2019,Thursday,10:03,32281.7,32281.7,32164.3,32164.3,26-Dec-19,32100,CE,58.7,29.35,272.45,315.3,-42.85,T477,12,2019,6.3,-23.05,0,,
20-12-2019,Friday,10:03,32266.8,32314.15,32214.15,32261.5,02-Jan-20,32400,PE,100,50,360,324.95,35.05,T478,12,2019,49.05,35.05,1,,
23-12-2019,Monday,10:03,32381,32425.1,32325.1,32369.2,02-Jan-20,32400,PE,100,50,306.5,359.65,-53.15,T479,12,2019,26.3,-23.7,0,,
24-12-2019,Tuesday,14:42,32337.8,32378.75,32278.75,32319.7,02-Jan-20,32300,CE,100,50,262.15,261.45,0.7,T480,12,2019,11.9,0.7,1,,
26-12-2019,Thursday,10:51,32276.2,32322.5,32222.5,32268.8,02-Jan-20,32200,CE,100,50,213.8,141,72.8,T481,12,2019,73.8,72.8,1,,
27-12-2019,Friday,10:03,32142.5,32195.35,32095.35,32148.2,09-Jan-20,32300,PE,100,50,305,202,103,T482,12,2019,103,103,1,,
30-12-2019,Monday,10:09,32486.6,32560.5,32460.5,32534.4,09-Jan-20,32600,PE,100,50,276.35,338,-61.65,T483,12,2019,23.35,-26.65,0,,
31-12-2019,Tuesday,10:03,32345.9,32345.9,32254.6,32254.6,09-Jan-20,32200,CE,50,25,341.5,381,-39.5,T484,12,2019,34.5,9.5,1,,
01-01-2020,Wednesday,10:03,32237.9,32308.75,32208.75,32279.6,09-Jan-20,32200,CE,100,50,295.9,244,51.9,T485,1,2020,70.9,51.9,1,,
02-01-2020,Thursday,10:21,32133.2,32204.2,32133.2,32204.2,09-Jan-20,32200,PE,50,25,192.75,138.7,54.05,T486,1,2020,54.05,54.05,1,,
03-01-2020,Friday,10:03,32326.9,32326.9,32263.3,32263.3,16-Jan-20,32200,CE,50,25,358.25,308.15,50.1,T487,1,2020,50.1,50.1,1,,
06-01-2020,Monday,10:03,31910.4,31910.4,31736.6,31736.6,16-Jan-20,31600,CE,86.9,43.45,418.95,325.65,93.3,T488,1,2020,93.3,93.3,1,,
07-01-2020,Tuesday,10:15,31598.1,31722.6,31598.1,31722.6,16-Jan-20,31700,PE,62.25,31.125,307.45,345.8,-38.35,T489,1,2020,0,-31.125,0,,
08-01-2020,Wednesday,10:03,30995.5,30995.5,30930.8,30930.8,16-Jan-20,31200,PE,50,25,419.95,447.25,-27.3,T490,1,2020,42.95,17.95,1,,
09-01-2020,Thursday,10:21,31748.2,31853,31748.2,31853,16-Jan-20,31900,PE,52.4,26.2,309.7,251,58.7,T491,1,2020,58.7,58.7,1,,
10-01-2020,Friday,10:36,32215.7,32269.55,32169.55,32223.4,23-Jan-20,32300,PE,100,50,415,471,-56,T492,1,2020,36.1,-13.9,0,,
13-01-2020,Monday,10:33,32139.1,32259.7,32139.1,32259.7,23-Jan-20,32300,PE,60.3,30.15,418,449.8,-31.8,T493,1,2020,0,-30.15,0,,
